时间,踝关节力矩,小腿关节力矩,大腿关节力矩,髋关节力矩
1.1920928955078125e-06,0.01,0.02,0.01,0.01
0.018469810485839844,0.01,0.0,0.01,0.0
0.037628889083862305,0.01,-0.0,-0.0,-0.0
0.057617902755737305,0.0,-0.01,0.0,-0.01
0.07800149917602539,0.0,-0.01,-0.0,-0.01
0.10175848007202148,0.0,-0.0,0.0,-0.0
0.12164473533630371,0.0,-0.0,0.0,-0.0
0.14111042022705078,0.0,-0.0,0.0,-0.0
0.16168832778930664,0.0,-0.0,0.0,-0.0
0.1817028522491455,0.0,-0.0,0.0,-0.0
0.2010817527770996,0.0,-0.0,0.0,-0.0
0.22454118728637695,0.0,-0.0,0.0,-0.0
0.24320721626281738,0.0,-0.0,0.0,-0.0
0.2626657485961914,0.0,-0.0,0.0,-0.0
0.2830698490142822,0.0,-0.0,0.0,-0.0
0.3073558807373047,0.0,-0.0,0.0,-0.0
0.32665467262268066,0.0,-0.0,0.0,-0.0
0.3468470573425293,0.0,-0.0,0.0,-0.0
0.36919140815734863,0.0,-0.0,0.0,-0.0
0.3887062072753906,0.0,-0.0,0.0,-0.0
0.4112851619720459,0.0,-0.0,0.0,-0.0
0.43242883682250977,0.0,-0.0,0.0,-0.0
0.4516561031341553,0.0,-0.0,0.0,-0.0
0.47516775131225586,0.0,-0.0,0.0,-0.0
0.4913039207458496,0.0,-0.0,0.0,-0.0
0.5106346607208252,0.0,-0.0,0.0,-0.0
0.530797004699707,0.0,-0.0,0.0,-0.0
0.5500502586364746,0.0,-0.0,0.0,-0.0
0.5920510292053223,64.35,-100.0,-0.19,-24.44
0.6487030982971191,100.0,-100.0,0.04,-47.94
0.6947286128997803,100.0,-78.44,-14.7,-69.51
0.7383191585540771,3.67,-71.55,-0.26,-32.7
0.7809977531433105,-24.87,-58.08,4.48,-18.22
0.8237466812133789,73.01,-31.48,-7.43,-28.25
0.868912935256958,25.85,-22.67,-0.82,-16.53
0.9148216247558594,2.46,-18.47,-0.95,-9.12
0.958125114440918,13.62,-11.48,-2.8,-8.7
1.008021593093872,2.6,-8.48,-2.02,-4.84
1.0517067909240723,2.27,-5.59,-2.66,-3.52
1.0981502532958984,1.5,-4.41,-2.52,-2.79
1.1499757766723633,2.2,-4.45,-2.67,-2.53
1.207223892211914,3.04,-5.12,-2.8,-2.71
1.252345323562622,4.19,-6.13,-2.82,-3.19
1.2987196445465088,2.69,-7.81,-2.23,-3.31
1.3420894145965576,3.48,-9.4,-2.18,-3.56
1.3911454677581787,4.24,-11.41,-2.7,-3.42
1.4393479824066162,5.4,-11.31,-2.59,-4.67
1.4910130500793457,6.04,-11.85,-2.53,-4.99
1.5440528392791748,6.62,-12.46,-2.56,-5.41
1.5998287200927734,6.97,-12.92,-2.52,-5.45
1.6480517387390137,7.0,-14.03,-2.85,-5.2
1.6940228939056396,8.08,-12.76,-2.67,-6.39
1.7370376586914062,14.91,-12.72,-3.46,-7.44
1.7853236198425293,15.25,-12.83,-3.35,-7.62
1.8316841125488281,15.38,-12.86,-3.38,-7.66
1.8779501914978027,15.5,-12.91,-3.4,-7.7
1.9258735179901123,15.56,-12.9,-3.28,-7.49
1.969663143157959,15.6,-12.76,-3.31,-7.58
2.010315179824829,15.63,-12.71,-3.32,-7.59
2.056847333908081,15.66,-12.64,-3.34,-7.59
2.099259853363037,15.61,-12.55,-3.37,-7.58
2.1485397815704346,15.66,-12.47,-3.41,-7.58
2.198806047439575,15.72,-12.39,-3.51,-7.59
2.2458508014678955,15.79,-12.3,-3.6,-7.61
2.2869060039520264,15.84,-12.2,-3.67,-7.64
2.333937406539917,15.67,-12.17,-3.73,-7.6
2.376331090927124,15.68,-12.2,-3.79,-7.54
2.418130397796631,15.7,-12.18,-3.89,-7.53
2.467315196990967,15.81,-12.1,-4.01,-7.66
2.5113346576690674,15.85,-12.1,-4.0,-7.52
2.5537309646606445,16.0,-12.06,-4.05,-7.47
2.598921775817871,15.99,-12.1,-4.1,-7.42
2.638960838317871,16.01,-12.02,-4.02,-7.32
2.679992437362671,16.15,-11.98,-3.99,-7.32
2.72729754447937,16.33,-11.92,-4.05,-7.51
2.771831750869751,16.37,-11.86,-4.14,-7.35
2.811913013458252,16.38,-11.85,-4.18,-7.34
2.8542816638946533,16.62,-11.8,-3.96,-7.36
2.8991987705230713,1.28,-11.79,-2.25,-5.37
2.9436967372894287,8.89,-13.61,-3.02,-5.02
2.9856534004211426,17.07,-11.82,-4.05,-7.19
3.031512498855591,1.21,-12.35,-1.98,-4.64
3.0739128589630127,8.2,-13.48,-2.73,-4.71
3.1162960529327393,16.69,-11.53,-3.97,-7.17
3.1564862728118896,1.77,-11.48,-2.22,-5.3
3.1973814964294434,9.23,-13.36,-3.05,-4.88
3.2388668060302734,17.11,-11.41,-3.95,-7.04
3.2836310863494873,1.73,-11.44,-2.14,-5.18
3.32902455329895,9.46,-13.17,-2.99,-4.83
3.3733508586883545,17.39,-11.3,-3.89,-6.95
3.4178898334503174,1.72,-11.37,-2.12,-5.0
