time,Angle_Thigh,Angle_Calf,Presure_Front,Presure_Middle,Presure_Back
0.0,3.0,-6.0,160.0,39.0,256.0
0.02800273895263672,3.0,-6.0,162.0,40.0,256.0
0.04870104789733887,3.0,-6.0,161.0,40.0,256.0
0.06711435317993164,3.0,-6.0,161.0,40.0,256.0
0.08757138252258301,3.0,-6.0,160.0,40.0,256.0
0.10835933685302734,3.0,-6.0,158.0,41.0,255.0
0.13657093048095703,3.0,-6.0,155.0,40.0,255.0
0.1499624252319336,3.0,-6.0,147.0,40.0,255.0
0.17229723930358887,3.0,-6.0,147.0,41.0,255.0
0.1954975128173828,3.0,-6.0,146.0,41.0,255.0
0.21558570861816406,3.0,-6.0,146.0,40.0,255.0
0.2427213191986084,3.0,-6.0,146.0,41.0,255.0
0.2666459083557129,3.0,-6.0,145.0,41.0,256.0
0.2868070602416992,3.0,-6.0,146.0,41.0,255.0
0.3030092716217041,3.0,-6.0,145.0,40.0,256.0
0.3290543556213379,3.0,-6.0,147.0,39.0,255.0
0.3492281436920166,3.0,-6.0,147.0,39.0,255.0
0.4151632785797119,3.0,-6.0,147.0,39.0,255.0
0.43103814125061035,3.0,-6.0,147.0,40.0,255.0
0.4512784481048584,3.0,-6.0,147.0,40.0,256.0
0.4805185794830322,3.0,-6.0,147.0,40.0,256.0
0.501502513885498,3.0,-6.0,146.0,40.0,256.0
0.5220468044281006,3.0,-6.0,147.0,39.0,256.0
0.5988438129425049,3.0,-6.0,153.0,40.0,256.0
0.6276037693023682,3.0,-6.0,160.0,40.0,256.0
0.6479759216308594,3.0,-6.0,156.0,40.0,256.0
0.6681311130523682,3.0,-6.0,157.0,40.0,256.0
0.6885066032409668,3.0,-6.0,158.0,40.0,256.0
0.7091424465179443,3.0,-6.0,159.0,40.0,256.0
0.7300479412078857,3.0,-6.0,159.0,39.0,255.0
0.748201847076416,3.0,-6.0,163.0,39.0,255.0
0.774590253829956,3.0,-6.0,152.0,39.0,251.0
0.7927074432373047,3.0,-6.0,155.0,40.0,247.0
0.8203380107879639,3.0,-6.0,168.0,39.0,243.0
0.8367745876312256,3.0,-6.0,172.0,40.0,237.0
0.8570723533630371,2.0,-5.0,174.0,40.0,225.0
0.8822569847106934,2.0,-5.0,180.0,43.0,208.0
0.8995134830474854,2.0,-4.0,188.0,43.0,191.0
0.9257543087005615,2.0,-4.0,200.0,44.0,178.0
0.9459614753723145,2.0,-3.0,214.0,46.0,154.0
0.9660248756408691,1.0,-3.0,221.0,48.0,138.0
0.9867699146270752,1.0,-2.0,224.0,50.0,122.0
1.0106866359710693,0.0,-1.0,223.0,47.0,108.0
1.0506978034973145,-1.0,3.0,246.0,51.0,31.0
1.0746417045593262,-2.0,6.0,271.0,45.0,21.0
1.0986254215240479,-3.0,8.0,267.0,61.0,16.0
1.1146581172943115,-4.0,11.0,258.0,58.0,28.0
1.1385986804962158,-5.0,12.0,263.0,53.0,61.0
1.1537609100341797,-6.0,14.0,212.0,60.0,116.0
1.1777446269989014,-6.0,16.0,182.0,57.0,158.0
1.2017242908477783,-7.0,19.0,174.0,63.0,172.0
1.2256698608398438,-7.0,21.0,153.0,62.0,199.0
1.2417032718658447,-8.0,22.0,122.0,53.0,215.0
1.2656819820404053,-8.0,24.0,111.0,53.0,245.0
1.2896292209625244,-8.0,26.0,101.0,54.0,255.0
1.3123588562011719,-9.0,28.0,102.0,51.0,257.0
1.3258705139160156,-9.0,30.0,107.0,49.0,256.0
1.3498525619506836,-10.0,32.0,137.0,58.0,260.0
1.373870611190796,-10.0,34.0,135.0,56.0,265.0
1.3978240489959717,-11.0,36.0,141.0,56.0,270.0
1.413848638534546,-11.0,37.0,135.0,58.0,274.0
1.4377951622009277,-11.0,39.0,137.0,55.0,278.0
1.4617784023284912,-12.0,40.0,140.0,42.0,276.0
1.4777677059173584,-12.0,43.0,128.0,44.0,277.0
1.501786231994629,-13.0,44.0,126.0,46.0,283.0
1.525733470916748,-13.0,46.0,124.0,46.0,286.0
1.5497210025787354,-13.0,47.0,128.0,47.0,288.0
1.5657095909118652,-14.0,49.0,127.0,52.0,286.0
1.589693307876587,-14.0,50.0,131.0,47.0,284.0
1.6358122825622559,-15.0,53.0,137.0,42.0,285.0
1.6518025398254395,-15.0,55.0,144.0,41.0,282.0
1.6758263111114502,-15.0,56.0,151.0,41.0,279.0
1.6998090744018555,-15.0,58.0,155.0,45.0,266.0
1.7157578468322754,-15.0,59.0,162.0,44.0,253.0
1.7397429943084717,-15.0,60.0,168.0,44.0,254.0
1.7797162532806396,-15.0,63.0,172.0,38.0,242.0
1.8041629791259766,-15.0,64.0,171.0,38.0,230.0
1.8281097412109375,-15.0,65.0,157.0,40.0,209.0
1.8441412448883057,-15.0,65.0,124.0,49.0,188.0
1.8681206703186035,-15.0,66.0,93.0,39.0,160.0
1.8920648097991943,-15.0,67.0,44.0,61.0,129.0
1.9080567359924316,-14.0,68.0,39.0,61.0,107.0
1.9320423603057861,-14.0,69.0,33.0,56.0,91.0
1.9560565948486328,-14.0,69.0,29.0,49.0,66.0
1.980006217956543,-14.0,69.0,23.0,46.0,54.0
1.9959957599639893,-14.0,70.0,16.0,18.0,45.0
2.0200188159942627,-13.0,70.0,15.0,19.0,42.0
