time,Angle_Thigh,Angle_Calf,Presure_Front,Presure_Middle,Presure_Back,Angle_Thigh_D,Angle_Calf_D,Presure_Front_D,Presure_Middle_D,Presure_Back_D,label
0,4,2,38,37,403,-52.6301,0,-368.411,-210.52,157.8903,"1,0,0"
0.01900053,3,2,31,33,406,-52.63011017,0,-368.4107712,-210.5204407,157.8903305,"1,0,0"
0.037941694,4,2,29,31,409,26.35622946,0,-52.71245892,-52.71245892,79.06868838,"1,0,0"
0.061925888,4,2,29,29,413,0,0,0,-32.29667047,64.59334093,"1,0,0"
0.085908651,4,2,44,31,415,0,0,174.604068,23.2805424,23.2805424,"1,0,0"
0.101898909,4,2,53,29,416,0,0,88.32283017,-19.62729559,9.813647797,"1,0,0"
0.12588501,4,2,63,30,417,0,0,79.43757576,7.943757576,7.943757576,"1,0,0"
0.149940252,4,2,63,30,419,0,0,0,0,13.33864636,"1,0,0"
0.173851967,4,2,63,31,419,0,0,0,5.752020055,0,"1,0,0"
0.189879656,4,2,62,32,419,0,0,-5.266493641,5.266493641,0,"1,0,0"
0.213859558,4,2,62,31,419,0,0,0,-4.675965895,0,"1,0,0"
0.229850054,4,2,63,33,419,0,0,4.350662458,8.701324916,0,"1,0,0"
0.253799677,4,2,63,32,419,0,0,0,-3.940115339,0,"1,0,0"
0.277780771,4,2,65,33,420,0,0,7.19992241,3.599961205,3.599961205,"1,0,0"
0.341186762,4,3,65,40,414,0,2.930946074,0,20.51662251,-17.58567644,"1,0,0"
0.36108613,4,3,65,41,413,0,0,0,2.769422353,-2.769422353,"1,0,0"
0.38506937,4,3,67,41,411,0,0,5.19386935,0,-5.19386935,"1,0,0"
0.401095867,3,3,73,43,408,-2.493169543,0,14.95901726,4.986339087,-7.47950863,"1,0,0"
0.425043344,3,3,74,45,406,0,0,2.352701231,4.705402463,-4.705402463,"1,0,0"
0.450104952,3,3,66,48,405,0,0,-17.7736325,6.665112187,-2.221704062,"1,0,0"
0.466138124,3,3,86,55,402,0,0,42.90573748,15.01700812,-6.435860623,"1,0,0"
0.490120411,3,3,91,54,400,0,0,10.20157473,-2.040314947,-4.080629893,"1,0,0"
0.514105558,3,3,102,60,395,0,0,21.39638411,11.67075497,-9.72562914,"1,0,0"
0.536808252,3,3,102,82,385,0,0,0,40.98297652,-18.62862569,"1,0,0"
