Exoskeleton_Left_Thigh (Ang),Exoskeleton_Left_Thigh (Vel),Exoskeleton_Left_Thigh (Acc),Exoskeleton_Left_Calf (Ang),Exoskeleton_Left_Calf (Vel),Exoskeleton_Left_Calf (Acc),Exoskeleton_Right_Thigh (Ang),Exoskeleton_Right_Thigh (Vel),Exoskeleton_Right_Thigh (Acc),Exoskeleton_Right_Calf (Ang),Exoskeleton_Right_Calf (Vel),Exoskeleton_Right_Calf (Acc),Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Force_Left_Thigh,Force_Left_Calf,Force_Right_Thigh,Force_Right_Calf,Angle_Driver_LT (Output),Angle_Driver_LC (Output),Angle_Driver_RT (Output),Angle_Driver_RC (Output)
10.1239,-2.74658,0.162109,9.53613,-3.2959,0.10498,5.65247,0.793457,0.0146484,5.74585,0.610352,-0.059082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9904,8.18468,0,0
10.058,-2.92969,0.155273,9.50317,-3.35693,0.0986328,5.66345,0.854492,0.00976562,5.76233,0.549316,-0.0585938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8171,8.20633,0,0
10.0195,-2.92969,0.151855,9.43176,-3.60107,0.0942383,5.66345,0.854492,0.0112305,5.76782,0.488281,-0.0620117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6574,8.37536,0,0
9.94263,-2.86865,0.158691,9.39331,-3.60107,0.0952148,5.66895,0.915527,0.0205078,5.76782,0.549316,-0.0571289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.627,8.36777,0,0
9.87671,-2.80762,0.167969,9.31641,-3.72314,0.104492,5.67444,0.976562,0.0249023,5.77881,0.671387,-0.0512695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5713,8.3631,0,0
9.87671,-2.80762,0.167969,9.31641,-3.72314,0.104492,5.67444,0.976562,0.0249023,5.77881,0.671387,-0.0512695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4302,8.33209,0,0
9.87671,-2.80762,0.167969,9.31641,-3.72314,0.104492,5.67444,0.976562,0.0249023,5.77881,0.671387,-0.0512695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4189,8.36647,0,0
9.87671,-2.80762,0.167969,9.2395,-3.78418,0.114746,5.67993,0.976562,0.0327148,5.7843,0.732422,-0.0478516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3039,8.33086,0,0
9.84375,-2.92969,0.181641,9.2395,-3.78418,0.114746,5.67993,0.976562,0.0327148,5.78979,0.793457,-0.0444336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3563,8.36755,0,0
9.78882,-2.99072,0.188965,9.1571,-4.02832,0.119141,5.68542,1.09863,0.0439453,5.78979,0.793457,-0.0424805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3739,8.43306,0,0
