Exoskeleton_Left_Thigh (Ang),Exoskeleton_Left_Thigh (Vel),Exoskeleton_Left_Thigh (Acc),Exoskeleton_Left_Calf (Ang),Exoskeleton_Left_Calf (Vel),Exoskeleton_Left_Calf (Acc),Exoskeleton_Right_Thigh (Ang),Exoskeleton_Right_Thigh (Vel),Exoskeleton_Right_Thigh (Acc),Exoskeleton_Right_Calf (Ang),Exoskeleton_Right_Calf (Vel),Exoskeleton_Right_Calf (Acc),Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Angle_Driver_LT (Output),Angle_Driver_LC (Output),Angle_Driver_RT (Output),Angle_Driver_RC (Output)
0.0219727,0,0.165039,-0.0109863,-0.0610352,0.0107422,-1.52588e-06,0.0610352,-0.0405273,-0.00549011,0,-0.0566406,91.6589,0.0610352,0.0561523,97.8662,0.549316,0.0620117,97.4872,0.366211,-0.0151367,96.1829,0.610352,-0.120117,-4.37075,-3.39898,8.76808,0
0.0219727,0,0.165039,-0.0109863,-0.0610352,0.0107422,-1.52588e-06,0.0610352,-0.0405273,-0.00549011,0,-0.0566406,91.6589,0.0610352,0.0561523,97.8662,0.549316,0.0620117,97.4872,0.366211,-0.0151367,96.1829,0.610352,-0.120117,-5.03385,-3.41707,8.87218,0
0.0219727,0,0.165039,-0.0109863,-0.0610352,0.0107422,-1.52588e-06,0.0610352,-0.0405273,-0.00549011,0,-0.0566406,91.6589,0.0610352,0.0561523,97.8662,0.549316,0.0620117,97.4872,0.366211,-0.0151367,96.1829,0.610352,-0.120117,-5.06104,-3.44815,9.05869,0
0.0219727,0,0.165039,-0.0109863,-0.0610352,0.0107422,-1.52588e-06,0.0610352,-0.0405273,-0.00549011,0,-0.0566406,91.6589,0.0610352,0.0561523,97.8662,0.549316,0.0620117,97.4872,0.366211,-0.0151367,96.1829,0.610352,-0.120117,-5.06104,-3.44427,8.93435,0
0.0219727,0.0610352,0.165039,-0.0109863,-0.0610352,0.0117188,-1.52588e-06,0,-0.0419922,-0.00549011,0,-0.0556641,91.6589,0.0610352,0.0561523,97.8662,0.549316,0.0620117,97.4872,0.366211,-0.0151367,96.1829,0.610352,-0.120117,-4.94769,-3.31993,9.13573,0
0.0219727,0,0.165527,-0.0109863,0,0.0107422,-1.52588e-06,0.0610352,-0.0419922,-0.00549011,0,-0.0581055,91.6754,0.12207,0.0654297,97.8992,0.549316,0.0683594,97.4982,0.0610352,-0.0166016,96.2048,0.427246,-0.120117,-5.09038,-3.42069,9.4314,0
0.0219727,0,0.165527,-0.0109863,0,0.0107422,-1.52588e-06,0.0610352,-0.0419922,-0.00549011,0,-0.0581055,91.6754,0.12207,0.0654297,97.8992,0.549316,0.0683594,97.4982,0.0610352,-0.0166016,96.2048,0.427246,-0.120117,-5.09038,-3.70045,9.4314,0
0.0219727,0,0.165527,-0.0109863,0,0.0107422,-1.52588e-06,0.0610352,-0.0419922,-0.00549011,0,-0.0581055,91.6754,0.12207,0.0654297,97.8992,0.549316,0.0683594,97.4982,0.0610352,-0.0166016,96.2048,0.427246,-0.120117,-5.27689,-3.69496,9.4314,0
0.0219727,0,0.165527,-0.0109863,-0.0610352,0.0126953,-1.52588e-06,0,-0.0429688,-0.00549011,0,-0.0566406,91.6754,0.12207,0.0654297,97.8992,0.549316,0.0683594,97.4982,0.0610352,-0.0166016,96.2048,0.427246,-0.120117,-5.26524,-3.83712,9.47897,0
0.0219727,0,0.165527,-0.0109863,-0.0610352,0.0126953,-1.52588e-06,0,-0.0429688,-0.00549011,0,-0.0566406,91.6754,0.12207,0.0654297,97.8992,0.549316,0.0683594,97.4982,0.0610352,-0.0166016,96.2048,0.427246,-0.120117,-5.26524,-3.83712,9.47897,0
0.0219727,0,0.165527,-0.0109863,-0.0610352,0.0126953,-1.52588e-06,0,-0.0429688,-0.00549011,0,-0.0566406,91.6754,0.12207,0.0654297,97.8992,0.549316,0.0683594,97.4982,0.0610352,-0.0166016,96.2048,0.427246,-0.120117,-5.29632,-3.83712,9.51005,0
0.0219727,0,0.165527,-0.0109863,-0.0610352,0.0126953,-1.52588e-06,0,-0.0429688,-0.00549011,0,-0.0566406,91.6754,0.12207,0.0654297,97.8992,0.549316,0.0683594,97.4982,0.0610352,-0.0166016,96.2048,0.427246,-0.120117,-5.30021,-3.99094,9.38571,0
0.0219727,0,0.165527,-0.0109863,-0.0610352,0.0126953,-1.52588e-06,0,-0.0429688,-0.00549011,0,-0.0566406,91.6754,0.12207,0.0654297,97.8992,0.549316,0.0683594,97.4982,0.0610352,-0.0166016,96.2048,0.427246,-0.120117,-4.69472,-4.09263,9.8008,0
0.0219727,0,0.165527,-0.0109863,-0.0610352,0.0126953,-1.52588e-06,0,-0.0429688,-0.00549011,0,-0.0566406,91.6754,0.12207,0.0654297,97.8992,0.549316,0.0683594,97.4982,0.0610352,-0.0166016,96.2048,0.427246,-0.120117,-4.68923,-4.09263,9.8063,0
0.0219727,0,0.166016,-0.0109863,-0.0610352,0.012207,-1.52588e-06,0,-0.0424805,3.05176e-06,0,-0.0566406,91.6809,0.12207,0.0644531,97.9047,0.610352,0.065918,97.5037,0.12207,-0.0166016,96.2103,0.427246,-0.118164,-4.77699,-4.11434,9.68584,0
0.0219727,0,0.166016,-0.0109863,-0.0610352,0.012207,-1.52588e-06,0,-0.0424805,3.05176e-06,0,-0.0566406,91.6809,0.305176,0.0644531,97.9047,0.610352,0.065918,97.5037,0.12207,-0.0166016,96.2103,0.366211,-0.118164,-4.76533,-4.11434,9.68584,0
0.0219727,0,0.164551,-0.0109863,-0.0610352,0.0117188,-1.52588e-06,0,-0.0419922,-0.00549011,0,-0.0561523,91.6809,0.305176,0.0644531,97.9047,0.610352,0.065918,97.5037,0.12207,-0.0166016,96.2103,0.366211,-0.118164,-4.67208,-4.02108,9.71693,0
0.0219727,0,0.164551,-0.0109863,-0.0610352,0.0117188,-1.52588e-06,0,-0.0419922,-0.00549011,0,-0.0561523,91.6809,0.305176,0.065918,97.9102,0.610352,0.0664062,97.5146,0.366211,-0.0112305,96.2158,0.366211,-0.117188,-4.57882,-3.65262,9.7535,0
0.0219727,0,0.164551,-0.0109863,-0.0610352,0.0117188,-1.52588e-06,0,-0.0419922,-0.00549011,0,-0.0561523,91.6809,0.305176,0.065918,97.9102,0.610352,0.0664062,97.5146,0.366211,-0.0112305,96.2213,0.366211,-0.117188,-4.57882,-3.65262,9.7535,0
0.0219727,0,0.164551,-0.0109863,-0.0610352,0.0117188,-1.52588e-06,0,-0.0419922,-0.00549011,0,-0.0561523,91.6809,0.305176,0.065918,97.9211,0.610352,0.0664062,97.5146,0.366211,-0.0112305,96.2213,0.366211,-0.117188,-4.57882,-3.65262,9.76449,0
0.0219727,0,0.166504,-0.0109863,0,0.0102539,-1.52588e-06,0,-0.0424805,3.05176e-06,-0.0610352,-0.0561523,91.6864,0.12207,0.0634766,97.9266,0.549316,0.0639648,97.5201,0.366211,-0.0117188,96.2268,0.366211,-0.117676,-4.86475,-3.7093,9.69455,0
0.0219727,0,0.166504,-0.0109863,0,0.0102539,-1.52588e-06,0,-0.0424805,3.05176e-06,-0.0610352,-0.0561523,91.6864,0.12207,0.0634766,97.9266,0.549316,0.0639648,97.5201,0.366211,-0.0117188,96.2268,0.366211,-0.117676,-4.86475,-3.80255,9.69455,0
0.0219727,0,0.166504,-0.0109863,0,0.0102539,-1.52588e-06,0,-0.0424805,3.05176e-06,-0.0610352,-0.0561523,91.6864,0.12207,0.0634766,97.9266,0.549316,0.0639648,97.5201,0.366211,-0.0117188,96.2268,0.366211,-0.117676,-4.86475,-3.80255,9.69455,0
0.0219727,0,0.166504,-0.0109863,0,0.0102539,-1.52588e-06,0,-0.0424805,3.05176e-06,-0.0610352,-0.0561523,91.6864,0.12207,0.0634766,97.9266,0.549316,0.0639648,97.5201,0.488281,-0.0117188,96.2323,0.366211,-0.117676,-4.86475,-3.79478,9.69455,0
0.0219727,0,0.166016,-0.0109863,0,0.0126953,-1.52588e-06,0,-0.0439453,3.05176e-06,0,-0.0595703,91.6919,0.366211,0.0620117,97.9376,0.488281,0.0625,97.5256,0.488281,-0.0117188,96.2323,0.366211,-0.118652,-4.90589,-3.7582,9.44748,0
0.0219727,0,0.164062,-0.0109863,-0.0610352,0.0107422,-1.52588e-06,0,-0.0419922,3.05176e-06,0,-0.059082,91.6919,0.366211,0.0629883,97.9431,0.488281,0.0625,97.5311,0.366211,-0.0107422,96.2323,0.366211,-0.119141,-4.71938,-3.57397,9.5812,0
0.0219727,0,0.164062,-0.0109863,-0.0610352,0.0107422,-1.52588e-06,0,-0.0419922,3.05176e-06,0,-0.059082,91.6919,0.366211,0.0629883,97.9431,0.488281,0.0625,97.5311,0.366211,-0.0107422,96.2323,0.366211,-0.119141,-4.71938,-3.57397,9.5812,0
0.0219727,0,0.164062,-0.0109863,-0.0610352,0.0107422,-1.52588e-06,0,-0.0419922,3.05176e-06,0,-0.059082,91.6919,0.366211,0.0629883,97.9431,0.488281,0.0625,97.5311,0.244141,-0.0107422,96.2323,0.366211,-0.119141,-4.71938,-3.58174,9.5812,0
0.0219727,0,0.164551,-0.0109863,0,0.0112305,-1.52588e-06,0,-0.0424805,3.05176e-06,0,-0.0571289,91.6974,-0.12207,0.0561523,97.9596,0.488281,0.0629883,97.5366,0.12207,-0.0112305,96.2378,0.305176,-0.118652,-5.21124,-3.64619,9.5883,0
0.0219727,0,0.166504,-0.00549316,-0.0610352,0.0136719,-1.52588e-06,0,-0.0410156,3.05176e-06,0,-0.0576172,91.6974,0.0610352,0.0595703,97.9651,0.427246,0.0649414,97.5366,-0.0610352,-0.0107422,96.2378,0.305176,-0.119629,-5.10633,-3.7511,9.56271,0
0.0164795,0,0.165527,-0.0109863,0,0.0107422,0.00549164,-0.183105,-0.0400391,-0.00549011,-0.0610352,-0.0556641,91.6974,0.0610352,0.0581055,97.9651,0.427246,0.0634766,97.5366,0,-0.0117188,96.2433,0.305176,-0.119629,-5.19959,-3.80939,9.46945,0
0.0164795,-0.0610352,0.168945,-0.0109863,0.12207,0.015625,-1.52588e-06,-0.366211,-0.0449219,-0.0164764,-0.244141,-0.0585938,91.7029,0.244141,0.059082,97.9706,0.427246,0.0634766,97.5366,0,-0.0126953,96.2433,0.305176,-0.118164,-5.0581,-3.80939,9.65207,0
0.0109863,-0.244141,0.168945,-0.0164795,0.366211,0.0166016,-0.00549469,-0.610352,-0.0444336,-0.0274628,-0.427246,-0.059082,91.7029,0.305176,0.0620117,97.9816,0.427246,0.0620117,97.5421,0,-0.0141602,96.2488,0.366211,-0.118652,-5.19798,-4.0992,9.23564,0
0.0109863,-0.244141,0.168945,-0.0164795,0.366211,0.0166016,-0.00549469,-0.610352,-0.0444336,-0.0274628,-0.427246,-0.059082,91.7029,0.305176,0.0620117,97.9816,0.427246,0.0620117,97.5421,0,-0.0141602,96.2488,0.366211,-0.118652,-5.06975,-4.0992,9.17347,0
-0.0439453,-1.83105,0.17041,-0.0109863,1.58691,0.0161133,-0.0219742,-1.28174,-0.0410156,-0.0604218,-1.09863,-0.0561523,91.7084,0.244141,0.0620117,97.9926,0.427246,0.0615234,97.5421,0,-0.0141602,96.2598,0.366211,-0.118652,-4.98266,-4.01372,9.33439,0
-0.0439453,-1.83105,0.17041,-0.0109863,1.58691,0.0161133,-0.0219742,-1.28174,-0.0410156,-0.0604218,-1.09863,-0.0561523,91.7084,0.244141,0.0620117,97.9926,0.427246,0.0615234,97.5421,0,-0.0141602,96.2598,0.366211,-0.118652,-5.06037,-4.09143,9.10125,0
-0.0439453,-1.83105,0.17041,-0.0109863,1.58691,0.0161133,-0.0219742,-1.28174,-0.0410156,-0.0604218,-1.09863,-0.0561523,91.7084,0.244141,0.0620117,97.9926,0.427246,0.0615234,97.5421,0,-0.0141602,96.2598,0.366211,-0.120605,-5.06037,-4.09143,9.10125,0
-0.0933838,-2.68555,0.17334,0,2.50244,0.0180664,-0.0329605,-1.70898,-0.0429688,-0.0823944,-1.46484,-0.0581055,91.7139,0.183105,0.0620117,97.9926,0.427246,0.0629883,97.5421,0.0610352,-0.0141602,96.2598,0.366211,-0.120605,-5.05877,-4.08754,9.09576,0
