Exoskeleton_Left_Thigh (Ang),Exoskeleton_Left_Thigh (Vel),Exoskeleton_Left_Thigh (Acc),Exoskeleton_Left_Calf (Ang),Exoskeleton_Left_Calf (Vel),Exoskeleton_Left_Calf (Acc),Exoskeleton_Right_Thigh (Ang),Exoskeleton_Right_Thigh (Vel),Exoskeleton_Right_Thigh (Acc),Exoskeleton_Right_Calf (Ang),Exoskeleton_Right_Calf (Vel),Exoskeleton_Right_Calf (Acc),Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Force_Left_Thigh,Force_Left_Calf,Force_Right_Thigh,Force_Right_Calf,Angle_Driver_LT (Output),Angle_Driver_LC (Output),Angle_Driver_RT (Output),Angle_Driver_RC (Output)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706996,2.51575,3.07204,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70473,2.53074,3.07777,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02285,2.59123,2.76906,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02285,2.60771,2.76906,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02285,2.60771,2.76906,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02285,2.60771,2.7701,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02285,2.60771,2.7701,0
-3.03772,2.44141,0.127441,1.18103,0.671387,0.0112305,-1.40625,2.99072,0.0371094,-0.65918,2.74658,-0.0390625,0.351562,6.22559,-0.134766,3.1311,-0.488281,0.0625,2.40051,1.09863,-0.0219727,-1.48315,2.62451,-0.592773,0,0,0,0,1.02499,2.61271,2.77583,0
-3.03772,2.44141,0.127441,1.18103,0.671387,0.0112305,-1.40625,2.99072,0.0371094,-0.65918,2.74658,-0.0390625,0.444946,6.5918,-0.15332,3.1311,-0.488281,0.0625,2.4115,1.28174,-0.0327148,-1.48315,2.62451,-0.592773,-235,-1,-82,-1,1.11941,2.62413,2.68245,0
-3.01025,2.56348,0.12793,1.18103,0.671387,0.0112305,-1.40625,2.99072,0.0332031,-0.65918,2.74658,-0.0390625,0.444946,6.5918,-0.15332,3.1311,-0.488281,0.0625,2.4115,1.28174,-0.0327148,-1.48315,2.62451,-0.592773,-233,-2,-80,0,1.11941,2.62413,2.68245,0
-2.97729,2.99072,0.122559,1.18652,0.549316,0.0107422,-1.37878,2.99072,0.0332031,-0.631714,2.74658,-0.0419922,0.609741,3.35693,-0.172852,3.1311,-0.488281,0.0625,2.46094,1.2207,-0.0429688,-1.42822,2.56348,-0.605469,-234,0,-82,1,1.25382,2.65904,2.52153,0
-2.93884,2.99072,0.122559,1.203,0.12207,-0.00146484,-1.30737,2.92969,0.043457,-0.571289,2.56348,-0.0366211,0.620728,2.86865,-0.158203,3.1311,-0.488281,0.0625,2.46643,0.488281,-0.0371094,-1.41174,2.56348,-0.605469,-240,0,-80,-1,1.28003,2.66067,2.51341,0
-2.86743,3.41797,0.139648,1.2085,-0.244141,0.0136719,-1.24695,2.86865,0.0356445,-0.543823,2.31934,-0.0395508,0.620728,2.86865,-0.147461,3.1311,-0.488281,0.0625,2.46643,0.488281,-0.0371094,-1.41174,2.56348,-0.60791,-229,0,-85,-1,1.28065,2.66067,2.51341,0
-2.86743,3.41797,0.139648,1.203,-0.244141,0.0136719,-1.24695,2.86865,0.0356445,-0.521851,2.31934,-0.0395508,0.620728,2.86865,-0.147461,3.1311,-0.488281,0.0625,2.46643,0.488281,-0.0371094,-1.41174,2.56348,-0.60791,-231,0,-78,-1,1.27722,2.65724,2.51464,0
-2.83447,3.41797,0.139648,1.19751,-0.305176,0.0151367,-1.21948,2.74658,0.0356445,-0.494385,2.31934,-0.0424805,0.620728,2.86865,-0.147461,3.1311,-0.488281,0.0625,2.46643,0.488281,-0.0371094,-1.41174,2.2583,-0.60791,-237,1,-78,-1,1.27722,2.65724,2.51464,0
-2.83447,3.41797,0.139648,1.19751,-0.305176,0.0151367,-1.21948,2.74658,0.034668,-0.494385,2.31934,-0.0424805,0.6427,3.78418,-0.147461,3.1311,-0.488281,0.0625,2.47742,0.549316,-0.0454102,-1.38977,2.2583,-0.60791,-234,0,-77,-1,1.29584,2.66524,2.4898,0
-2.83447,3.41797,0.128906,1.19751,-0.305176,0.0151367,-1.18652,2.74658,0.034668,-0.494385,2.31934,-0.0424805,0.697632,5.43213,-0.145996,3.1311,-0.488281,0.0625,2.4884,0.732422,-0.0439453,-1.37329,2.01416,-0.603516,-235,0,-82,1,1.36378,2.6923,2.43514,0
-2.83447,3.41797,0.128906,1.19751,-0.305176,0.0151367,-1.18652,2.74658,0.034668,-0.494385,2.31934,-0.0424805,0.758057,5.7373,-0.144043,3.1311,-0.488281,0.0625,2.50488,1.28174,-0.0385742,-1.35681,1.83105,-0.598145,-233,-1,-80,-1,1.42034,2.7065,2.37185,0
-2.83447,3.41797,0.128906,1.19751,-0.305176,0.0151367,-1.18652,2.74658,0.034668,-0.494385,2.31934,-0.0424805,0.758057,5.7373,-0.144043,3.1311,-0.488281,0.0625,2.50488,1.28174,-0.0385742,-1.35681,1.83105,-0.598145,-233,-1,-80,-1,1.42034,2.7065,2.37185,0
