1.4km/s
Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Left_Plantar_Pressure (1),Left_Plantar_Pressure (2),Left_Plantar_Pressure (3),Right_Plantar_Pressure (1),Right_Plantar_Pressure (2),Right_Plantar_Pressure (3)
110.165,26.4282,-0.0415039,102.316,17.4561,-0.148926,81.2878,-10.498,0.0864258,71.1285,23.2544,-0.702148,85,203,6,4,6,123
110.165,26.4282,-0.0415039,102.316,17.4561,-0.148926,81.2329,-6.16455,0.0371094,71.1285,30.8838,-0.752441,85,203,6,4,6,123
110.165,26.4282,-0.0385742,102.316,17.4561,-0.148926,81.2329,-6.16455,0.0371094,71.7273,30.8838,-0.752441,85,203,6,4,6,123
110.363,27.5879,-0.0385742,102.316,14.7705,-0.117676,81.2329,-6.16455,0.0371094,71.7273,30.8838,-0.752441,83,195,8,5,7,124
110.363,27.5879,-0.0385742,102.371,14.7705,-0.117676,81.2329,7.44629,-0.081543,71.7273,30.8838,-0.826172,83,195,8,5,7,124
110.363,27.5879,-0.0517578,102.371,14.7705,-0.117676,81.3098,7.44629,-0.081543,72.3315,34.5459,-0.826172,83,195,8,5,7,124
110.588,28.6255,-0.0517578,102.371,12.7563,-0.101562,81.3098,7.44629,-0.081543,72.3315,34.5459,-0.826172,83,213,7,4,7,131
110.588,28.6255,-0.0517578,102.42,12.7563,-0.101562,81.3098,7.44629,-0.081543,72.3315,34.5459,-0.826172,83,213,7,4,7,131
110.588,28.6255,-0.0517578,102.42,12.7563,-0.101562,81.3098,22.8882,-0.210449,72.3315,34.5459,-0.828613,83,213,7,4,7,131
110.588,28.6255,-0.0517578,102.42,12.7563,-0.101562,81.5405,22.8882,-0.210449,72.8644,34.9121,-0.828613,83,213,7,4,7,131
110.836,29.9072,-0.0585938,102.475,12.2681,-0.0844727,81.5405,32.7148,-0.27002,72.8644,34.9121,-0.681152,80,200,5,4,7,131
110.836,29.9072,-0.0439453,102.475,12.2681,-0.0844727,81.8701,32.7148,-0.27002,73.2983,33.8135,-0.681152,80,200,5,4,7,131
