Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Left_Plantar_Pressure (1),Left_Plantar_Pressure (2),Left_Plantar_Pressure (3),Right_Plantar_Pressure (1),Right_Plantar_Pressure (2),Right_Plantar_Pressure (3)
96.438,-30.5786,-0.351074,121.36,143.127,0.145508,82.804,-43.7622,0.581055,62.2516,110.718,-0.896484,7,203,62,7,7,228
96.438,-30.5786,-0.351074,121.36,143.127,0.163574,82.804,-43.7622,0.35498,63.6523,127.38,-0.452637,5,150,2,5,7,219
96.438,-30.5786,-0.351074,121.36,143.127,0.163574,82.804,-43.7622,0.35498,63.6523,127.38,-0.452637,5,150,2,5,7,219
95.8942,-64.6362,-0.0673828,122.899,150.635,0.015625,82.0789,2.92969,-0.34375,64.9487,128.174,-0.138672,5,37,4,4,8,209
95.191,-64.6362,-0.0673828,124.503,150.635,0.015625,82.0789,2.92969,-0.34375,64.9487,128.174,-0.138672,5,37,4,4,8,209
94.2902,-86.2427,0.114258,126.151,152.405,-0.179688,82.6007,65.979,-0.649414,66.2781,120.667,-0.251953,32,16,2,5,8,204
94.2902,-86.2427,0.114258,126.151,152.405,-0.179688,82.6007,65.979,-0.649414,67.7228,110.107,-0.251953,32,16,2,5,8,204
94.2902,-86.2427,0.239258,126.151,153.503,-0.32373,83.3807,84.4116,-0.249512,67.7228,110.107,-0.251953,63,11,1,4,8,189
94.2902,-86.2427,0.239258,127.831,153.503,-0.32373,83.3807,84.4116,-0.249512,67.7228,110.107,-0.251953,63,11,1,4,8,189
94.2902,-86.2427,0.239258,127.831,153.503,-0.32373,83.3807,84.4116,-0.249512,67.7228,99.6704,-0.561035,63,11,1,4,8,189
91.8896,-125.305,0.208984,129.562,158.142,-0.433105,84.1882,67.0776,0.787598,70.4199,92.7734,-0.672852,25,8,2,5,11,204
91.8896,-125.305,0.208984,129.562,158.142,-0.433105,84.8969,67.0776,0.787598,70.4199,92.7734,-0.672852,25,8,2,5,11,204
91.8896,-128.174,0.0629883,131.353,164.307,-0.468262,84.8969,67.0776,0.787598,70.4199,92.7734,-0.672852,239,8,0,5,8,221
90.5878,-128.174,0.0629883,131.353,164.307,-0.468262,84.8969,67.0776,0.787598,70.4199,92.7734,-0.672852,239,8,0,5,8,221
90.5878,-128.174,0.0629883,131.353,164.307,-0.468262,84.8969,67.0776,0.787598,70.4199,86.731,-0.567383,239,8,0,5,8,221
90.5878,-128.174,0.0629883,131.353,164.307,-0.494141,84.8969,48.3398,0.413574,71.3922,86.731,-0.567383,203,8,1,7,8,203
89.3188,-125.488,-0.102051,133.165,167.419,-0.494141,85.4626,48.3398,0.413574,71.3922,86.731,-0.567383,203,8,1,7,8,203
89.3188,-125.488,-0.102051,133.165,167.419,-0.390625,85.9406,44.0674,-0.0439453,72.1283,78.6743,-0.460938,199,8,1,6,8,195
89.3188,-123.108,-0.196777,133.165,159.241,-0.390625,85.9406,44.0674,-0.0439453,72.1283,78.6743,-0.460938,199,8,1,6,8,195
88.0939,-123.108,-0.196777,134.874,159.241,-0.390625,85.9406,44.0674,-0.0439453,72.1283,78.6743,-0.460938,199,8,1,6,8,195
88.0939,-123.108,-0.196777,134.874,159.241,-0.390625,85.9406,44.0674,-0.0439453,72.1283,69.2749,-0.544922,199,8,1,6,8,195
88.0939,-123.108,-0.196777,134.874,159.241,-0.390625,85.9406,44.0674,-0.208008,72.738,69.2749,-0.544922,199,8,1,6,8,195
88.0939,-123.108,-0.196777,134.874,159.241,-0.327148,86.413,53.2837,-0.208008,72.738,69.2749,-0.544922,199,8,1,6,8,195
88.0939,-122.742,-0.189453,136.395,144.958,-0.327148,86.413,53.2837,-0.208008,72.738,69.2749,-0.544922,5,6,1,5,8,196
84.5288,-120.361,-0.0390625,139.01,122.986,-0.172363,87.6874,70.3735,-0.00439453,73.7927,54.7485,-0.69043,10,6,3,6,7,204
84.5288,-120.361,-0.0390625,139.01,122.986,-0.172363,87.6874,70.3735,-0.00439453,73.7927,50.1099,-0.589355,10,6,3,6,7,204
83.4027,-115.479,-0.012207,139.01,122.986,-0.0620117,88.4015,65.1855,0.0522461,74.2542,50.1099,-0.589355,6,6,1,4,8,235
83.4027,-115.479,-0.012207,140.169,114.868,-0.0620117,88.4015,65.1855,0.0522461,74.2542,50.1099,-0.589355,6,6,1,4,8,235
83.4027,-115.479,-0.012207,140.169,114.868,-0.0620117,88.4015,65.1855,0.0522461,74.2542,46.6309,-0.506348,6,6,1,4,8,235
83.4027,-115.479,-0.012207,140.169,114.868,-0.0620117,88.4015,60.0586,0.0917969,74.7211,46.6309,-0.506348,4,6,1,5,7,239
82.2931,-111.084,0.00830078,141.202,101.501,-0.0200195,89.0881,60.0586,0.0917969,74.7211,46.6309,-0.4375,4,6,1,5,7,239
81.1725,-109.802,0.0107422,142.042,81.9092,-0.0498047,89.7363,59.082,0.0859375,75.188,43.457,-0.424316,7,6,1,6,8,231
81.1725,-109.802,0.0107422,142.042,81.9092,-0.10791,89.7363,59.9976,0.0883789,75.6384,40.0391,-0.424316,6,5,0,4,8,241
81.1725,-109.802,0.0107422,142.042,81.9092,-0.10791,90.39,59.9976,0.0883789,75.6384,40.0391,-0.424316,6,5,0,4,8,241
81.1725,-109.802,0.000488281,142.042,59.4482,-0.10791,90.39,59.9976,0.0883789,75.6384,40.0391,-0.424316,6,5,0,4,8,241
79.986,-112.366,0.000488281,142.652,59.4482,-0.10791,90.39,59.9976,0.0883789,75.6384,40.0391,-0.424316,6,5,0,4,8,241
79.986,-112.366,0.000488281,142.652,59.4482,-0.10791,90.39,59.9976,0.0883789,75.6384,37.6587,-0.460449,6,5,0,4,8,241
79.986,-112.366,0.000488281,142.652,59.4482,-0.10791,90.39,59.9976,0.0883789,76.0339,37.6587,-0.460449,6,5,0,4,8,241
79.986,-112.366,0.000488281,142.652,35.2173,-0.138184,90.39,60.3027,0.111816,76.0339,37.6587,-0.460449,6,10,2,5,37,230
78.7335,-117.065,-0.00732422,143.015,11.4136,-0.183105,91.7633,60.4858,0.158203,76.3416,35.2783,-0.477051,8,8,5,5,39,204
78.7335,-121.094,-0.00390625,143.124,11.4136,-0.183105,91.7633,60.4858,0.158203,76.3416,35.2783,-0.477051,8,8,5,5,39,204
78.7335,-121.094,-0.00390625,143.124,11.4136,-0.183105,91.7633,60.4858,0.158203,76.3416,35.2783,-0.477051,8,8,5,5,39,204
77.4316,-121.094,-0.00390625,143.124,11.4136,-0.183105,91.7633,60.4858,0.158203,76.3416,31.9824,-0.445801,8,8,5,5,39,204
77.4316,-121.094,-0.00390625,143.124,11.4136,-0.183105,91.7633,60.4858,0.174316,76.5393,31.9824,-0.445801,8,8,5,5,39,204
77.4316,-121.094,-0.00390625,143.124,11.4136,-0.198242,91.7633,60.4858,0.174316,76.5393,31.9824,-0.445801,6,6,1,5,36,211
77.4316,-121.094,-0.00390625,143.124,-10.8643,-0.198242,91.7633,60.4858,0.174316,76.5393,31.9824,-0.445801,6,6,1,5,36,211
76.1023,-123.901,-0.0322266,143.015,-10.8643,-0.198242,92.4884,61.2183,0.174316,76.5393,31.9824,-0.445801,6,6,1,5,36,211
76.1023,-123.901,-0.0322266,143.015,-10.8643,-0.198242,92.4884,61.2183,0.174316,76.5393,28.6865,-0.379883,6,6,1,5,36,211
76.1023,-123.901,-0.0322266,143.015,-10.8643,-0.198242,92.4884,61.2183,0.159668,76.6602,28.6865,-0.379883,6,6,1,5,36,211
76.1023,-123.901,-0.0322266,143.015,-10.8643,-0.149414,93.241,62.9883,0.159668,76.6602,28.6865,-0.379883,8,5,2,4,23,204
74.7729,-123.413,-0.0576172,143.015,-31.8604,-0.149414,93.241,62.9883,0.146484,76.6602,28.6865,-0.379883,8,5,2,4,23,204
