Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Left_Plantar_Pressure (1),Left_Plantar_Pressure (2),Left_Plantar_Pressure (3),Right_Plantar_Pressure (1),Right_Plantar_Pressure (2),Right_Plantar_Pressure (3)
87.3193,64.0869,-0.0629883,94.1638,36.8652,-0.0869141,88.6267,-128.052,0.176758,113.514,15.8691,-0.405762,6,92,90,6,8,75
87.995,63.1714,-0.0629883,94.1638,35.1562,-0.0732422,87.4567,-128.052,0.176758,113.514,-6.16455,-0.478516,6,92,90,6,8,75
87.995,63.1714,-0.0629883,94.1638,35.1562,-0.0732422,87.4567,-128.052,0.176758,113.157,-6.16455,-0.478516,6,92,90,6,8,75
87.995,63.1714,-0.0561523,94.1638,35.1562,-0.0732422,87.4567,-130.188,0.170898,113.157,-6.16455,-0.478516,6,98,85,7,8,123
88.6267,58.8989,-0.0561523,94.1638,35.1562,-0.0732422,86.2427,-130.188,0.170898,113.157,-6.16455,-0.478516,6,98,85,7,8,123
88.6267,54.7485,-0.0673828,94.4879,34.0576,-0.0908203,85.0287,-130.798,0.161133,112.613,-27.4048,-0.53125,6,98,85,7,8,123
88.6267,54.7485,-0.0673828,94.823,34.0576,-0.0908203,85.0287,-130.798,0.161133,112.613,-27.4048,-0.53125,6,98,85,7,8,123
89.7858,53.1616,-0.101074,95.1746,33.5693,-0.106934,83.8367,-130.798,0.126465,111.86,-48.9502,-0.534668,8,80,93,8,8,113
89.7858,53.1616,-0.101074,95.1746,34.4238,-0.106934,83.8367,-130.798,0.126465,111.86,-69.3359,-0.534668,8,80,93,8,8,113
89.7858,53.1616,-0.145996,95.5316,34.4238,-0.106934,83.8367,-129.822,0.0532227,110.916,-69.3359,-0.534668,8,80,93,8,8,113
89.7858,50.7812,-0.145996,95.5316,34.4238,-0.106934,83.8367,-129.822,0.0532227,110.916,-69.3359,-0.534668,8,80,93,8,8,113
90.3296,50.7812,-0.145996,95.5316,34.4238,-0.129883,82.6611,-129.822,0.0532227,110.916,-69.3359,-0.55957,6,84,73,6,7,115
90.8459,47.2412,-0.186035,95.9052,35.4004,-0.129883,81.535,-126.343,-0.00146484,110.916,-87.4023,-0.55957,3,99,65,5,8,116
90.8459,47.2412,-0.186035,95.9052,35.4004,-0.13916,81.535,-126.343,-0.00146484,109.8,-104.37,-0.577637,3,99,65,5,8,116
90.8459,47.2412,-0.221191,96.2732,35.4004,-0.13916,81.535,-126.343,-0.0898438,108.548,-104.37,-0.577637,3,99,65,5,8,116
91.3239,43.0908,-0.221191,96.2732,35.4004,-0.13916,80.4639,-122.07,-0.0898438,108.548,-104.37,-0.577637,6,111,33,8,8,125
91.7633,37.4756,-0.251953,96.6412,35.2173,-0.158203,78.4808,-115.845,-0.146484,105.675,-139.038,-0.685547,7,115,25,6,8,127
91.7633,37.4756,-0.251953,97.0148,35.2173,-0.158203,78.4808,-115.845,-0.146484,105.675,-139.038,-0.685547,7,115,25,6,8,127
93.0103,37.9639,-0.216309,98.1573,35.0952,-0.178223,76.6626,-110.168,-0.235352,100.325,-183.838,-0.741699,5,127,244,5,9,127
93.4222,38.6963,-0.176758,98.1573,35.0952,-0.178223,75.8167,-108.276,-0.235352,100.325,-183.838,-0.741699,6,123,209,7,8,130
93.4222,38.6963,-0.176758,98.5474,35.4004,-0.156738,75.8167,-108.276,-0.303711,100.325,-183.838,-0.718262,6,123,209,7,8,130
93.4222,38.6963,-0.148438,98.5474,35.4004,-0.156738,75.8167,-103.638,-0.303711,100.325,-195.801,-0.718262,6,123,209,7,8,130
93.8617,40.6494,-0.148438,98.9484,35.3394,-0.154785,75.0146,-103.638,-0.303711,96.1993,-206.055,-0.684082,7,128,232,6,8,131
93.8617,40.6494,-0.121094,98.9484,35.3394,-0.154785,75.0146,-103.638,-0.303711,96.1993,-206.055,-0.684082,7,131,223,8,8,124
93.8617,41.8701,-0.121094,98.9484,35.3394,-0.154785,75.0146,-103.638,-0.303711,96.1993,-206.055,-0.684082,7,131,223,8,8,124
94.3121,41.8701,-0.121094,98.9484,35.3394,-0.154785,75.0146,-96.9238,-0.27002,96.1993,-206.055,-0.684082,7,131,223,8,8,124
94.3121,41.8701,-0.121094,98.9484,35.3394,-0.154785,75.0146,-96.9238,-0.27002,96.1993,-206.055,-0.684082,7,131,223,8,8,124
94.3121,41.8701,-0.121094,98.9484,35.3394,-0.154785,74.2896,-96.9238,-0.27002,96.1993,-215.515,-0.642578,7,131,223,8,8,124
94.3121,41.8701,-0.121094,98.9484,35.3394,-0.154785,74.2896,-96.9238,-0.231934,94.0295,-215.515,-0.642578,7,131,223,8,8,124
94.3121,41.8701,-0.121094,98.9484,35.3394,-0.154785,74.2896,-90.8813,-0.231934,94.0295,-215.515,-0.642578,7,131,223,8,8,124
94.3121,41.0156,-0.10498,99.3549,36.0107,-0.166504,73.6304,-90.8813,-0.231934,94.0295,-215.515,-0.642578,6,132,167,7,7,101
94.7571,41.0156,-0.10498,99.3549,36.0107,-0.160645,73.6304,-90.8813,-0.231934,91.8048,-224.304,-0.591797,6,132,167,7,7,101
94.7571,41.0156,-0.10498,99.3549,36.0107,-0.160645,73.6304,-85.7544,-0.222656,91.8048,-224.304,-0.591797,6,132,167,7,7,101
95.1855,39.856,-0.100586,99.7723,36.8042,-0.160645,73.0426,-85.7544,-0.222656,91.8048,-224.304,-0.591797,6,136,174,4,6,96
95.1855,39.856,-0.100586,99.7723,36.8042,-0.160645,73.0426,-85.7544,-0.222656,91.8048,-232.605,-0.546387,6,136,174,4,6,96
95.1855,39.856,-0.0952148,100.179,37.4146,-0.157227,73.0426,-80.3223,-0.165039,89.5581,-232.605,-0.546387,6,144,154,10,6,88
95.625,40.7104,-0.0952148,100.585,37.7808,-0.172363,72.5208,-80.3223,-0.165039,89.5581,-240.051,-0.529785,6,144,154,10,6,88
