4 km/s 需要处理
Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Left_Plantar_Pressure (1),Left_Plantar_Pressure (2),Left_Plantar_Pressure (3),Right_Plantar_Pressure (1),Right_Plantar_Pressure (2),Right_Plantar_Pressure (3)
64.4952,97.9614,0.0942383,46.1646,22.0947,0.270996,-171.118,23.1323,0.123047,103.676,92.6514,-0.70752,3,5,14,176,87,4
64.4952,97.9614,0.0942383,46.1646,33.8135,0.210449,-171.118,23.1323,0.123047,104.483,92.6514,-0.70752,3,5,14,176,87,4
64.4952,97.9614,0.0942383,46.4941,33.8135,0.210449,-171.118,23.1323,0.123047,104.483,92.6514,-0.70752,3,5,14,176,87,4
64.4952,119.141,0.0869141,46.4941,33.8135,0.210449,-171.118,23.1323,0.103027,104.483,92.6514,-0.70752,4,3,168,177,86,4
66.297,119.141,0.0869141,46.4941,33.8135,0.210449,-171.953,18.0664,0.103027,104.483,92.6514,-0.70752,4,3,168,177,86,4
66.297,119.141,0.0869141,46.4941,33.8135,0.210449,-171.953,18.0664,0.103027,104.483,92.6514,-0.720703,4,3,168,177,86,4
66.297,119.141,0.0869141,46.4941,41.1987,0.147461,-171.953,18.0664,0.103027,105.296,98.1445,-0.720703,4,3,168,177,86,4
66.297,119.141,0.0869141,46.9061,41.1987,0.147461,-171.953,18.0664,0.103027,105.296,98.1445,-0.720703,4,3,168,177,86,4
66.297,126.038,0.442871,46.9061,41.1987,0.147461,-171.953,18.0664,0.129883,105.296,98.1445,-0.720703,2,4,236,175,80,4
67.5824,126.038,0.442871,46.9061,41.1987,0.147461,-172.859,12.9395,0.129883,105.296,98.1445,-0.720703,2,4,236,175,80,4
67.5824,126.038,0.442871,46.9061,41.1987,0.147461,-172.859,12.9395,0.129883,105.296,103.149,-0.725586,2,4,236,175,80,4
67.5824,126.038,0.442871,46.9061,52.8564,0.171387,-172.859,12.9395,0.129883,106.109,103.149,-0.725586,2,4,236,175,80,4
67.5824,126.038,0.442871,47.4554,52.8564,0.171387,-172.859,12.9395,0.129883,106.109,103.149,-0.725586,2,4,236,175,80,4
67.5824,95.1538,0.375488,47.4554,52.8564,0.171387,-172.859,12.9395,0.181641,106.109,103.149,-0.725586,6,3,23,177,65,4
68.5437,95.1538,0.375488,47.4554,52.8564,0.0224609,-172.782,7.01904,0.181641,107.241,107.666,-0.61377,6,3,23,177,65,4
68.5437,95.1538,0.375488,47.4554,52.8564,0.0224609,-172.782,7.01904,0.181641,107.241,107.666,-0.61377,6,3,23,177,65,4
68.5437,95.1538,0.375488,48.3838,87.1582,0.0224609,-172.782,7.01904,0.181641,107.241,107.666,-0.61377,6,3,23,177,65,4
68.5437,59.3872,-0.0537109,48.3838,87.1582,0.0224609,-172.782,7.01904,0.181641,107.241,107.666,-0.61377,3,4,102,177,103,3
69.1809,59.3872,-0.0537109,48.3838,87.1582,0.0224609,-172.7,7.01904,0.181641,107.241,107.666,-0.61377,3,4,102,177,103,3
69.1809,59.3872,-0.0537109,48.3838,87.1582,0.0224609,-172.7,7.01904,0.181641,107.241,112.61,-0.464844,3,4,102,177,103,3
69.1809,59.3872,-0.0537109,48.3838,101.807,-0.350098,-172.7,7.01904,0.181641,108.411,112.61,-0.464844,3,4,102,177,103,3
69.1809,59.3872,-0.0537109,49.4879,101.807,-0.350098,-172.7,7.01904,0.181641,108.411,112.61,-0.464844,3,4,102,177,103,3
