Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Left_Plantar_Pressure (1),Left_Plantar_Pressure (2),Left_Plantar_Pressure (3),Right_Plantar_Pressure (1),Right_Plantar_Pressure (2),Right_Plantar_Pressure (3)
80.2496,47.7905,-0.0268555,90.0385,40.8936,0.0356445,104.183,-40.5273,0.123047,99.0942,93.4448,-0.645996,7,7,96,2,64,2
80.6891,45.8374,-0.0268555,90.0385,40.8936,0.0356445,104.183,-40.5273,0.123047,99.0942,93.4448,-0.645996,7,7,96,2,64,2
80.6891,45.8374,-0.0268555,90.0385,40.8936,0.0356445,104.183,-40.5273,0.123047,99.0942,93.4448,-0.645996,4,6,116,52,77,3
80.6891,45.8374,-0.0268555,90.0385,40.8936,0.0356445,104.183,-45.9595,0.110352,99.0942,93.4448,-0.641113,4,6,116,52,77,3
80.6891,45.8374,-0.0268555,90.0385,40.8936,0.0356445,103.596,-45.9595,0.110352,99.0942,93.4448,-0.641113,4,6,116,52,77,3
80.6891,41.8091,0.0327148,90.0385,40.8936,0.0356445,103.596,-45.9595,0.110352,99.0942,93.4448,-0.641113,4,6,116,52,77,3
81.0901,41.8091,0.0327148,90.379,41.1377,0.0522461,103.596,-45.9595,0.110352,99.6381,97.8394,-0.641113,4,6,116,52,77,3
81.0901,41.8091,0.0327148,90.379,41.1377,0.0522461,102.931,-53.4668,0.078125,99.6381,102.051,-0.640625,4,6,112,45,62,17
81.0901,41.8091,0.0327148,90.379,41.1377,0.0439453,102.931,-53.4668,0.078125,100.193,102.051,-0.640625,4,6,112,45,62,17
81.0901,38.6963,0.0795898,90.7251,41.3208,0.0439453,102.931,-53.4668,0.078125,100.193,102.051,-0.640625,4,6,112,45,62,17
81.4526,38.6963,0.0795898,90.7251,41.3208,0.0439453,102.931,-53.4668,0.0439453,100.193,102.051,-0.640625,4,6,126,29,58,1
81.4526,38.6963,0.0795898,90.7251,41.3208,0.0151367,102.167,-64.3921,0.0439453,100.193,102.051,-0.640625,4,6,126,29,58,1
81.4526,38.3301,0.116699,91.0822,41.3818,0.0151367,102.167,-64.3921,0.0439453,100.77,106.262,-0.660156,4,6,126,29,58,1
81.8262,38.3301,0.116699,91.0822,41.3818,0.0151367,102.167,-64.3921,0.0439453,100.77,106.262,-0.660156,5,56,112,27,10,4
81.8262,38.3301,0.116699,91.0822,41.3818,0.0151367,102.167,-64.3921,0.0439453,100.77,106.262,-0.660156,5,56,112,27,10,4
81.8262,38.3301,0.116699,91.0822,41.3818,0.0151367,102.167,-64.3921,0.0151367,100.77,106.262,-0.658203,5,56,112,27,10,4
81.8262,38.3301,0.116699,91.0822,41.3818,0.0151367,102.167,-64.3921,0.0151367,100.77,106.262,-0.658203,5,56,112,27,10,4
81.8262,38.3301,0.112305,91.0822,41.3818,0.0151367,102.167,-77.2095,0.0151367,101.385,111.145,-0.658203,5,56,112,27,10,4
82.1887,36.9873,0.112305,91.4557,41.3208,-0.0410156,101.272,-77.2095,0.0151367,101.385,111.145,-0.658203,5,56,112,27,10,4
82.1887,36.9873,0.112305,91.4557,41.3208,-0.0410156,101.272,-77.2095,0.0151367,101.385,111.145,-0.658203,5,56,112,27,10,4
82.1887,36.9873,0.112305,91.4557,41.3208,-0.0410156,101.272,-77.2095,-0.00537109,101.385,111.145,-0.629883,5,56,112,27,10,4
82.1887,36.9873,0.112305,91.4557,41.3208,-0.0639648,100.256,-90.0269,-0.00537109,102.05,116.882,-0.629883,5,56,112,27,10,4
82.1887,34.4849,0.0786133,91.8457,41.4429,-0.0639648,100.256,-90.0269,-0.00537109,102.05,116.882,-0.629883,5,56,112,27,10,4
82.5293,34.4849,0.0786133,91.8457,41.4429,-0.0639648,100.256,-90.0269,-0.00537109,102.05,116.882,-0.629883,5,56,112,27,10,4
82.5293,34.4849,0.0786133,91.8457,41.4429,-0.0639648,100.256,-90.0269,-0.0317383,102.05,116.882,-0.595215,5,56,112,27,10,4
